Timestamp,Time,Source,Destination,Discovery,Packet_length,Payload_length,Sequence_number,Mac,Manufacturer,Src_device,Dst_device,Burst
1621911971,2021-05-25 08:06:11,0x00004360,0x00000000,0x00000001,48,11,66,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,244
1621911971,2021-05-25 08:06:11,0x00000000,0x00004360,0x00000001,45,8,140,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,244
1621911972,2021-05-25 08:06:12,0x00000000,0x00004360,0x00000000,51,14,142,24:fd:5b:00:00:02:1d:72,Ember Corporation,ZC,ZED,244
1621911972,2021-05-25 08:06:12,0x00004360,0x00000000,0x00000000,45,8,67,00:0d:6f:00:0b:5c:a1:98,Ember Corporation,ZED,ZC,244
1621912021,2021-05-25 08:07:01,0x00005465,0x00000000,0x00000001,52,15,32,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,245
1621912021,2021-05-25 08:07:01,0x00000000,0x00005465,0x00000001,49,8,146,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,245
1621912021,2021-05-25 08:07:01,0x00000000,0x00005465,0x00000000,54,13,148,24:fd:5b:00:00:02:1d:72,Silicon Laboratories,ZC,ZR,245
1621912021,2021-05-25 08:07:01,0x00005465,0x00000000,0x00000000,45,8,34,08:6b:d7:ff:fe:6e:6d:99,Silicon Laboratories,ZR,ZC,245
1621912049,2021-05-25 08:07:29,0x0000ebb8,0x00000000,0x00000001,52,15,57,24:fd:5b:00:01:04:50:a5,"SmartThings, Inc.",ZR,ZC,246
1621912049,2021-05-25 08:07:29,0x00000000,0x0000ebb8,0x00000001,45,8,152,24:fd:5b:00:00:02:1d:72,"SmartThings, Inc.",ZC,ZR,246
1621912082,2021-05-25 08:08:02,0x00007181,0x00000000,0x00000001,52,15,26,b0:ce:18:14:03:3b:30:23,"Zhejiang shenghui lighting co.,Ltd",ZED,ZC,247
1621912082,2021-05-25 08:08:02,0x00000000,0x00007181,0x00000001,45,8,155,24:fd:5b:00:00:02:1d:72,"Zhejiang shenghui lighting co.,Ltd",ZC,ZED,247
